[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /get                      --> main.main.func1 (3 handlers)
[GIN-debug] POST   /post                     --> main.main.func2 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN-debug] [ERROR] listen tcp :8080: bind: address already in use
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /get                      --> main.main.func1 (3 handlers)
[GIN-debug] POST   /post                     --> main.main.func2 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN-debug] [ERROR] listen tcp :8080: bind: address already in use
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /get                      --> main.main.func1 (3 handlers)
[GIN-debug] POST   /post                     --> main.main.func2 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2025/02/18 - 20:14:40 | 404 |       1.167µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:14:46 | 404 |         375ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:14:51 | 404 |         875ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:15:10 | 404 |       1.416µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:15:16 | 404 |       1.917µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:15:21 | 404 |         875ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:15:40 | 404 |        4.25µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:15:46 | 404 |       1.209µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:15:51 | 404 |       1.375µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:16:10 | 404 |         875ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:16:16 | 404 |       1.916µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:16:21 | 404 |           2µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:16:40 | 404 |       1.833µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:16:46 | 404 |         792ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:16:51 | 404 |         958ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:17:10 | 404 |       2.083µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:17:16 | 404 |       1.417µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:17:21 | 404 |       2.084µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:17:40 | 404 |           2µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:17:46 | 404 |       2.166µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:17:51 | 404 |       1.208µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:18:10 | 404 |         791ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:18:16 | 404 |       1.209µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:18:21 | 404 |       2.375µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:18:40 | 404 |       1.542µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:18:46 | 404 |         875ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:18:51 | 404 |         917ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:19:10 | 404 |         875ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:19:16 | 404 |         792ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:19:21 | 404 |       1.125µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:19:40 | 404 |       1.625µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:19:46 | 404 |       2.125µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:19:51 | 200 |    1.685625ms |       127.0.0.1 | GET      "/get?data=12"
{12}
[GIN] 2025/02/18 - 20:19:51 | 200 |       1.102ms |       127.0.0.1 | POST     "/post"
[GIN] 2025/02/18 - 20:19:51 | 404 |        1.25µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:20:10 | 404 |       1.709µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:20:16 | 404 |       1.166µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:20:21 | 404 |     210.792µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:20:40 | 404 |         875ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:20:46 | 404 |       1.417µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:20:51 | 404 |       1.542µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:21:10 | 404 |         750ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:21:16 | 404 |       1.125µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:21:21 | 404 |       1.958µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:21:40 | 404 |       1.167µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:21:46 | 404 |         833ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:21:51 | 404 |        1.75µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:22:10 | 404 |       1.125µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:22:16 | 404 |         916ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:22:21 | 404 |       1.667µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:22:40 | 404 |       1.834µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:22:46 | 404 |         625ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:22:51 | 404 |       1.167µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:23:10 | 404 |       1.875µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:23:16 | 404 |       1.959µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:23:21 | 404 |           2µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:23:40 | 404 |         833ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:23:46 | 404 |       1.959µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:23:51 | 404 |        1.75µs |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:24:00 | 200 |      85.542µs |       127.0.0.1 | GET      "/get?data=%2Fstart"
{/start}
[GIN] 2025/02/18 - 20:24:00 | 200 |     168.958µs |       127.0.0.1 | POST     "/post"
[GIN] 2025/02/18 - 20:24:10 | 404 |         834ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:24:16 | 404 |         750ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:24:21 | 404 |         875ns |       127.0.0.1 | GET      "/v1/health"
[GIN] 2025/02/18 - 20:24:40 | 404 |      21.708µs |       127.0.0.1 | GET      "/v1/health"
